zodiac,sanskrit_name,symbol,symbol_emoji,ruling_planet,tarot_card,lucky_stone,date_range,period,main_text,lucky_number,lucky_color,auspicious_time,mood,love_score,love_text,finance_score,finance_text,career_score,career_text,health_score,health_text
SAGITTARIUS,Dhanu,Archer,♐,Jupiter,Temperance,Yellow Sapphire (Pukhraj),Nov 22 – Dec 21,TODAY,"Dhanu ji, aaj Guru aapki rashi mein ashirwad de raha hai. Chandra se mann shant rahega. Pyaar mein din shubh. Kaam mein safalta milegi, jaldbazi nahi.",9,Yellow,06:30 AM – 08:00 AM,😊 Content,84,"Guru ka ashirwad, partner ke saath mitha samay. Rishta majboot.",82,"Dhan aayega, par fizul kharch se bachein.",85,"Office mein tareef. Kaam samay par pura hoga.",83,"Sehat achi, par thanda khana se bachein."
SAGITTARIUS,Dhanu,Archer,♐,Jupiter,Temperance,Yellow Sapphire (Pukhraj),Nov 22 – Dec 21,YESTERDAY,"Dhanu ji, kal Chandra ne aapko bhavnaon mein gehrai di. Guru ki kripa se parivar mein sukh raha. Kaam mein thoda vilaamb hua, par kaam bigda nahi. Aaj se sabak lein.",23,Yellow,09:00 AM – 10:30 AM,🙂 Calm,74,"Partner se thodi narazgi. Mana kar suljhayein, ji.",72,"Kharcha zyada hua, par niyantran mein raha.",77,"Kaam mein rukavat aayi, par samay se pura hua.",73,"Pet ki gadbad ho sakti hai. Halka khana."
SAGITTARIUS,Dhanu,Archer,♐,Jupiter,Temperance,Yellow Sapphire (Pukhraj),Nov 22 – Dec 21,TOMORROW,"Dhanu ji, kal Guru aapke bhav mein prakash layega. Atmavishwas badhega aur naye kaam shuru honge. Pyaar mein mithaas aayegi. Paise ke maamle mein labh, beta.",27,Golden,07:15 AM – 08:45 AM,😁 Happy,84,"Venus pyaar mein mithaas layega. Kisi purane mitra se mulakat.",83,"Dhan labh ke yog. Vyapar mein fayda.",87,"Naukri mein tareef. Mehnat rang layegi.",82,"Sehat mein sudhar. Halka khana khayein."
SAGITTARIUS,Dhanu,Archer,♐,Jupiter,Temperance,Yellow Sapphire (Pukhraj),Nov 22 – Dec 21,WEEKLY,"Dhanu ji, is hafte Guru aur Chandra ka yog aapko urja dega. Shuru ke din thoda sangharsh, par baad mein safalta. Pyaar mein samvad banaye rakhein. Paise ki sthiti majboot.",41,Yellow,06:15 AM – 07:45 AM,💪 Energetic,80,"Is hafte partner ke saath naya plan. Rishta gehna hoga.",81,"Saptah ke madhya mein arthik labh. Nivesh soch samajh.",85,"Career mein naya project. Tim par pura karein.",79,"Sehat ke liye yoga aur dhyan labhdayak."
SAGITTARIUS,Dhanu,Archer,♐,Jupiter,Temperance,Yellow Sapphire (Pukhraj),Nov 22 – Dec 21,MONTHLY,"Dhanu ji, is mahine Guru aur Shani ka prabhav aapke bhagya par. Pehla hafta vyast, doosra labhdayak. Pyaar mein gehraai. Dhan aayega par kharch bhi. Santulit rahein.",34,Yellow,07:30 AM – 09:00 AM,😊 Content,85,"Mahine ke madhya mein rishton mein mithaas. Partner ka saath.",83,"Vyapar mein vriddhi, par udhar se bachein.",86,"Promotion ke yog. Karyakshetra mein samman.",82,"Sehat samanya. Mausam se bachein."
SAGITTARIUS,Dhanu,Archer,♐,Jupiter,Temperance,Yellow Sapphire (Pukhraj),Nov 22 – Dec 21,YEARLY,"Dhanu ji, is varsh Guru aapke bhav mein gochar karke bada labh dega. Shani ki drishti se mehnat. Pyaar aur vivah ke yog. Swasthya ke liye niyamit dincharya. Dhan sanchay.",20,Golden,06:45 AM – 08:15 AM,🤔 Thoughtful,86,"Varsh ke madhya mein vivah ke yog. Prem mein safalta.",84,"Saal ke ant mein bada arthik labh. Property ka yog.",88,"Naukri mein unnati, par transfer ho sakta hai.",84,"Swasthya ke liye saavdhani. Regular checkup."
CAPRICORN,Makar,Sea-Goat,♑,Saturn,The Devil,Blue Sapphire (Neelam),Dec 22 – Jan 19,TODAY,"Makar ji, aaj Shani aapki rashi mein dhairya de raha hai. Chandra se mann shant rahega. Pyaar mein din shubh. Kaam mein safalta milegi, jaldbazi nahi.",10,Blue,06:00 AM – 07:30 AM,😌 Peaceful,80,"Shani ka ashirwad, partner ke saath mitha samay. Rishta majboot.",78,"Dhan aayega, par fizul kharch se bachein.",84,"Office mein chain. Kaam samay par pura hoga.",82,"Sehat achi, par thanda khana se bachein."
CAPRICORN,Makar,Sea-Goat,♑,Saturn,The Devil,Blue Sapphire (Neelam),Dec 22 – Jan 19,YESTERDAY,"Makar ji, kal Shani ki drishti ne aapko thoda thakaya. Par Chandra ki kripa se aap phir se uth khade hue. Ghar mein shanti bani rahi. Aaj se seekh lein.",25,Grey,08:30 AM – 10:00 AM,🙂 Calm,72,"Partner se thodi doori. Baat karke suljhayein, ji.",70,"Kharcha zyada hua, par niyantran mein raha.",76,"Office mein thoda tanav tha, par kaam pura hua.",71,"Thakan ke karan aaram kiya. Neend poori lein."
CAPRICORN,Makar,Sea-Goat,♑,Saturn,The Devil,Blue Sapphire (Neelam),Dec 22 – Jan 19,TOMORROW,"Makar ji, kal Guru aapke bhav mein prakash layega. Atmavishwas badhega aur naye kaam shuru honge. Pyaar mein mithaas aayegi. Paise ke maamle mein labh, beta.",29,Blue,07:00 AM – 08:30 AM,😊 Content,82,"Venus pyaar mein mithaas layega. Kisi purane mitra se mulakat.",80,"Dhan labh ke yog. Vyapar mein fayda.",86,"Naukri mein tareef. Mehnat rang layegi.",81,"Sehat mein sudhar. Halka khana khayein."
CAPRICORN,Makar,Sea-Goat,♑,Saturn,The Devil,Blue Sapphire (Neelam),Dec 22 – Jan 19,WEEKLY,"Makar ji, is hafte Shani aur Chandra ka yog aapko urja dega. Shuru ke din thoda sangharsh, par baad mein safalta. Pyaar mein samvad banaye rakhein. Paise ki sthiti majboot.",43,Blue,06:00 AM – 07:30 AM,💪 Energetic,78,"Is hafte partner ke saath naya plan. Rishta gehna hoga.",79,"Saptah ke madhya mein arthik labh. Nivesh soch samajh.",85,"Career mein naya project. Tim par pura karein.",78,"Sehat ke liye yoga aur dhyan labhdayak."
CAPRICORN,Makar,Sea-Goat,♑,Saturn,The Devil,Blue Sapphire (Neelam),Dec 22 – Jan 19,MONTHLY,"Makar ji, is mahine Guru aur Shani ka prabhav aapke bhagya par. Pehla hafta vyast, doosra labhdayak. Pyaar mein gehraai. Dhan aayega par kharch bhi. Santulit rahein.",36,Grey,07:00 AM – 08:30 AM,😊 Content,81,"Mahine ke madhya mein rishton mein mithaas. Partner ka saath.",78,"Vyapar mein vriddhi, par udhar se bachein.",86,"Promotion ke yog. Karyakshetra mein samman.",80,"Sehat samanya. Mausam se bachein."
CAPRICORN,Makar,Sea-Goat,♑,Saturn,The Devil,Blue Sapphire (Neelam),Dec 22 – Jan 19,YEARLY,"Makar ji, is varsh Guru aapke bhav mein gochar karke bada labh dega. Shani ki drishti se mehnat. Pyaar aur vivah ke yog. Swasthya ke liye niyamit dincharya. Dhan sanchay.",22,Golden,06:30 AM – 08:00 AM,🤔 Thoughtful,84,"Varsh ke madhya mein vivah ke yog. Prem mein safalta.",82,"Saal ke ant mein bada arthik labh. Property ka yog.",87,"Naukri mein unnati, par transfer ho sakta hai.",83,"Swasthya ke liye saavdhani. Regular checkup."
AQUARIUS,Kumbh,Water-Bearer,♒,Saturn,The Star,Blue Sapphire (Neelam),Jan 20 – Feb 18,TODAY,"Kumbh ji, aaj Shani aapki rashi mein dhairya de raha hai. Chandra se mann shant rahega. Pyaar mein din shubh. Kaam mein safalta milegi, jaldbazi nahi.",11,Blue,06:15 AM – 07:45 AM,😌 Peaceful,82,"Shani ka ashirwad, partner ke saath mitha samay. Rishta majboot.",79,"Dhan aayega, par fizul kharch se bachein.",85,"Office mein chain. Kaam samay par pura hoga.",83,"Sehat achi, par thanda khana se bachein."
AQUARIUS,Kumbh,Water-Bearer,♒,Saturn,The Star,Blue Sapphire (Neelam),Jan 20 – Feb 18,YESTERDAY,"Kumbh ji, kal Shani ki drishti ne aapko thoda thakaya. Par Chandra ki kripa se aap phir se uth khade hue. Ghar mein shanti bani rahi. Aaj se seekh lein.",27,Grey,08:30 AM – 10:00 AM,🙂 Calm,74,"Partner se thodi doori. Baat karke suljhayein, ji.",71,"Kharcha zyada hua, par niyantran mein raha.",77,"Office mein thoda tanav tha, par kaam pura hua.",72,"Thakan ke karan aaram kiya. Neend poori lein."
AQUARIUS,Kumbh,Water-Bearer,♒,Saturn,The Star,Blue Sapphire (Neelam),Jan 20 – Feb 18,TOMORROW,"Kumbh ji, kal Guru aapke bhav mein prakash layega. Atmavishwas badhega aur naye kaam shuru honge. Pyaar mein mithaas aayegi. Paise ke maamle mein labh, beta.",31,Blue,07:15 AM – 08:45 AM,😊 Content,84,"Venus pyaar mein mithaas layega. Kisi purane mitra se mulakat.",81,"Dhan labh ke yog. Vyapar mein fayda.",87,"Naukri mein tareef. Mehnat rang layegi.",82,"Sehat mein sudhar. Halka khana khayein."
AQUARIUS,Kumbh,Water-Bearer,♒,Saturn,The Star,Blue Sapphire (Neelam),Jan 20 – Feb 18,WEEKLY,"Kumbh ji, is hafte Shani aur Chandra ka yog aapko urja dega. Shuru ke din thoda sangharsh, par baad mein safalta. Pyaar mein samvad banaye rakhein. Paise ki sthiti majboot.",45,Blue,06:00 AM – 07:30 AM,💪 Energetic,79,"Is hafte partner ke saath naya plan. Rishta gehna hoga.",80,"Saptah ke madhya mein arthik labh. Nivesh soch samajh.",86,"Career mein naya project. Tim par pura karein.",79,"Sehat ke liye yoga aur dhyan labhdayak."
AQUARIUS,Kumbh,Water-Bearer,♒,Saturn,The Star,Blue Sapphire (Neelam),Jan 20 – Feb 18,MONTHLY,"Kumbh ji, is mahine Guru aur Shani ka prabhav aapke bhagya par. Pehla hafta vyast, doosra labhdayak. Pyaar mein gehraai. Dhan aayega par kharch bhi. Santulit rahein.",38,Grey,07:00 AM – 08:30 AM,😊 Content,83,"Mahine ke madhya mein rishton mein mithaas. Partner ka saath.",80,"Vyapar mein vriddhi, par udhar se bachein.",87,"Promotion ke yog. Karyakshetra mein samman.",81,"Sehat samanya. Mausam se bachein."
AQUARIUS,Kumbh,Water-Bearer,♒,Saturn,The Star,Blue Sapphire (Neelam),Jan 20 – Feb 18,YEARLY,"Kumbh ji, is varsh Guru aapke bhav mein gochar karke bada labh dega. Shani ki drishti se mehnat. Pyaar aur vivah ke yog. Swasthya ke liye niyamit dincharya. Dhan sanchay.",24,Golden,06:30 AM – 08:00 AM,🤔 Thoughtful,85,"Varsh ke madhya mein vivah ke yog. Prem mein safalta.",83,"Saal ke ant mein bada arthik labh. Property ka yog.",88,"Naukri mein unnati, par transfer ho sakta hai.",84,"Swasthya ke liye saavdhani. Regular checkup."
PISCES,Meen,Fish,♓,Jupiter,The Moon,Yellow Sapphire (Pukhraj),Feb 19 – Mar 20,TODAY,"Meen ji, aaj Guru aapki rashi mein ashirwad de raha hai. Chandra se mann shant rahega. Pyaar mein din shubh. Kaam mein safalta milegi, jaldbazi nahi.",12,Yellow,06:45 AM – 08:15 AM,😊 Content,86,"Guru ka ashirwad, partner ke saath mitha samay. Rishta majboot.",83,"Dhan aayega, par fizul kharch se bachein.",84,"Office mein tareef. Kaam samay par pura hoga.",85,"Sehat achi, par thanda khana se bachein."
PISCES,Meen,Fish,♓,Jupiter,The Moon,Yellow Sapphire (Pukhraj),Feb 19 – Mar 20,YESTERDAY,"Meen ji, kal Chandra ne aapko bhavnaon mein gehrai di. Guru ki kripa se parivar mein sukh raha. Kaam mein thoda vilaamb hua, par kaam bigda nahi. Aaj se sabak lein.",19,Yellow,09:00 AM – 10:30 AM,🙂 Calm,76,"Partner se thodi narazgi. Mana kar suljhayein, ji.",73,"Kharcha zyada hua, par niyantran mein raha.",78,"Kaam mein rukavat aayi, par samay se pura hua.",74,"Pet ki gadbad ho sakti hai. Halka khana."
PISCES,Meen,Fish,♓,Jupiter,The Moon,Yellow Sapphire (Pukhraj),Feb 19 – Mar 20,TOMORROW,"Meen ji, kal Guru aapke bhav mein prakash layega. Atmavishwas badhega aur naye kaam shuru honge. Pyaar mein mithaas aayegi. Paise ke maamle mein labh, beta.",35,Golden,07:30 AM – 09:00 AM,😁 Happy,86,"Venus pyaar mein mithaas layega. Kisi purane mitra se mulakat.",84,"Dhan labh ke yog. Vyapar mein fayda.",88,"Naukri mein tareef. Mehnat rang layegi.",83,"Sehat mein sudhar. Halka khana khayein."
PISCES,Meen,Fish,♓,Jupiter,The Moon,Yellow Sapphire (Pukhraj),Feb 19 – Mar 20,WEEKLY,"Meen ji, is hafte Guru aur Chandra ka yog aapko urja dega. Shuru ke din thoda sangharsh, par baad mein safalta. Pyaar mein samvad banaye rakhein. Paise ki sthiti majboot.",47,Yellow,06:15 AM – 07:45 AM,💪 Energetic,82,"Is hafte partner ke saath naya plan. Rishta gehna hoga.",83,"Saptah ke madhya mein arthik labh. Nivesh soch samajh.",87,"Career mein naya project. Tim par pura karein.",81,"Sehat ke liye yoga aur dhyan labhdayak."
PISCES,Meen,Fish,♓,Jupiter,The Moon,Yellow Sapphire (Pukhraj),Feb 19 – Mar 20,MONTHLY,"Meen ji, is mahine Guru aur Shani ka prabhav aapke bhagya par. Pehla hafta vyast, doosra labhdayak. Pyaar mein gehraai. Dhan aayega par kharch bhi. Santulit rahein.",40,Yellow,07:15 AM – 08:45 AM,😊 Content,87,"Mahine ke madhya mein rishton mein mithaas. Partner ka saath.",84,"Vyapar mein vriddhi, par udhar se bachein.",88,"Promotion ke yog. Karyakshetra mein samman.",83,"Sehat samanya. Mausam se bachein."
PISCES,Meen,Fish,♓,Jupiter,The Moon,Yellow Sapphire (Pukhraj),Feb 19 – Mar 20,YEARLY,"Meen ji, is varsh Guru aapke bhav mein gochar karke bada labh dega. Shani ki drishti se mehnat. Pyaar aur vivah ke yog. Swasthya ke liye niyamit dincharya. Dhan sanchay.",26,Golden,06:30 AM – 08:00 AM,🤔 Thoughtful,88,"Varsh ke madhya mein vivah ke yog. Prem mein safalta.",85,"Saal ke ant mein bada arthik labh. Property ka yog.",89,"Naukri mein unnati, par transfer ho sakta hai.",86,"Swasthya ke liye saavdhani. Regular checkup."
